S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
1.,NABIL,"1,740.00","1,065.00","1,356.701,129.1039,687,527,50729,100,402","1,129.10","39,687,527,507","29,100,402"
2.,NIB,514.00,430.00,"460.050.002,793,072,0146,004,114",0.00,"2,793,072,014","6,004,114"
3.,SCB,689.00,434.00,"565.60514.204,139,724,8137,083,003",514.20,"4,139,724,813","7,083,003"
4.,HBL,580.00,477.00,"519.840.00737,312,7481,405,805",0.00,"737,312,748","1,405,805"
5.,SBI,468.00,331.30,"395.17395.904,223,499,28210,353,870",395.90,"4,223,499,282","10,353,870"
6.,NBB,515.00,278.00,"389.650.0021,367,533,47754,006,887",0.00,"21,367,533,477","54,006,887"
7.,EBL,864.00,515.00,"710.32583.0011,642,243,54015,775,039",583.00,"11,642,243,540","15,775,039"
8.,BOKL,433.20,240.20,"333.35296.009,727,103,93528,460,774",296.00,"9,727,103,935","28,460,774"
9.,NICA,"1,085.00",701.00,"890.91867.0032,601,214,27735,690,784",867.00,"32,601,214,277","35,690,784"
10.,MBL,455.00,270.00,"346.21325.0012,773,900,88035,314,256",325.00,"12,773,900,880","35,314,256"
11.,LBL,447.00,245.00,"332.86296.008,732,607,61925,212,929",296.00,"8,732,607,619","25,212,929"
12.,KBL,413.00,223.00,"316.10260.0019,105,042,76257,580,240",260.00,"19,105,042,762","57,580,240"
13.,NCCB,407.00,252.80,"326.84277.0017,565,453,37650,991,053",277.00,"17,565,453,376","50,991,053"
14.,SBL,605.00,364.00,"466.51454.0017,895,094,81337,253,882",454.00,"17,895,094,813","37,253,882"
15.,SHL,321.00,182.00,"231.83222.003,953,151,95815,786,881",222.00,"3,953,151,958","15,786,881"
16.,TRH,468.00,275.00,"362.73372.001,919,886,3845,061,381",372.00,"1,919,886,384","5,061,381"
17.,OHL,761.00,398.00,"522.02500.002,632,485,3344,628,815",500.00,"2,632,485,334","4,628,815"
18.,NHPC,530.90,128.00,"303.78378.0035,159,749,025113,124,074",378.00,"35,159,749,025","113,124,074"
19.,BPCL,703.00,383.00,"480.88435.0010,527,536,59020,276,335",435.00,"10,527,536,590","20,276,335"
20.,CHCL,785.00,462.00,"615.06516.0012,295,043,08918,710,183",516.00,"12,295,043,089","18,710,183"
21.,STC,"13,780.00","4,740.00","8,865.246,425.006,088,049,369652,040","6,425.00","6,088,049,369","652,040"
22.,BBC,"8,208.00","2,850.00","5,672.295,100.001,505,565,191250,692","5,100.00","1,505,565,191","250,692"
23.,NUBL,"1,919.00","1,166.00","1,570.321,242.0014,451,106,0798,981,610","1,242.00","14,451,106,079","8,981,610"
24.,CBBL,"2,065.20","1,240.00","1,673.341,340.0018,365,732,67310,804,210","1,340.00","18,365,732,673","10,804,210"
25.,DDBL,"2,420.00","1,019.00","1,621.831,293.0013,343,314,8897,511,832","1,293.00","13,343,314,889","7,511,832"
26.,SANIMA,564.90,319.00,"426.61365.0015,977,233,74035,972,436",365.00,"15,977,233,740","35,972,436"
27.,NABBC,"1,251.10",442.00,"693.67577.001,883,262,3782,465,488",577.00,"1,883,262,378","2,465,488"
28.,NICL,"1,294.00",640.00,"882.38870.0015,032,635,37815,559,801",870.00,"15,032,635,378","15,559,801"
29.,RBCL,"24,370.00","13,907.00","18,959.2317,400.004,411,270,818224,622","17,400.00","4,411,270,818","224,622"
30.,NLICL,"1,411.00",780.00,"1,121.371,120.0016,291,116,40613,721,004","1,120.00","16,291,116,406","13,721,004"
31.,HGI,982.00,557.00,"728.56750.007,862,259,01010,096,250",750.00,"7,862,259,010","10,096,250"
32.,UIC,890.00,546.00,"698.48717.509,849,214,24413,517,653",717.50,"9,849,214,244","13,517,653"
33.,EIC,885.00,526.00,"725.80720.205,235,706,7746,894,603",720.20,"5,235,706,774","6,894,603"
34.,PIC,"1,399.00",817.00,"1,156.36991.007,226,169,6295,962,087",991.00,"7,226,169,629","5,962,087"
35.,NIL,"1,900.00",950.00,"1,451.911,266.0017,487,871,54111,249,486","1,266.00","17,487,871,541","11,249,486"
36.,PRIN,"1,162.00",653.90,"898.34862.008,209,067,7538,561,984",862.00,"8,209,067,753","8,561,984"
37.,SIC,"1,890.00","1,008.00","1,442.091,331.004,444,286,6652,894,339","1,331.00","4,444,286,665","2,894,339"
38.,IGI,"1,465.00",865.00,"1,134.471,165.0012,180,196,64010,321,236","1,165.00","12,180,196,640","10,321,236"
39.,NLIC,"2,930.00","1,270.00","1,895.901,671.0030,868,331,45015,521,856","1,671.00","30,868,331,450","15,521,856"
40.,LICN,"2,800.00","1,700.00","2,210.062,369.006,927,947,5823,024,662","2,369.00","6,927,947,582","3,024,662"
41.,PICL,994.00,543.00,"772.25748.006,882,387,2048,436,731",748.00,"6,882,387,204","8,436,731"
42.,LGIL,975.00,566.50,"765.80788.009,540,129,35611,838,153",788.00,"9,540,129,356","11,838,153"
43.,SICL,"3,021.00","1,387.00","1,980.711,974.0019,306,221,3458,805,971","1,974.00","19,306,221,345","8,805,971"
44.,NFS,806.00,288.00,"484.78682.004,912,740,9319,276,789",682.00,"4,912,740,931","9,276,789"
45.,BNL,"1,903.90","1,866.60","1,902.860.00685,031360",0.00,"685,031",360
46.,NLO,316.00,274.00,"294.500.0011,78040",0.00,"11,780",40
47.,GUFL,"1,500.00",380.00,"815.15800.0010,660,735,05013,025,577",800.00,"10,660,735,050","13,025,577"
48.,CIT,"5,029.00","2,625.00","3,771.323,380.0016,909,704,0314,368,549","3,380.00","16,909,704,031","4,368,549"
49.,BNT,"17,670.00","8,328.00","10,782.3314,200.001,122,960,95996,498","14,200.00","1,122,960,959","96,498"
50.,UNL,"23,180.00","18,050.00","19,536.220.00329,036,82016,651",0.00,"329,036,820","16,651"
51.,BFC,630.00,151.00,"371.80509.006,520,191,62216,066,413",509.00,"6,520,191,622","16,066,413"
52.,GFCL,"1,010.00",231.00,"560.93674.008,747,353,14813,302,545",674.00,"8,747,353,148","13,302,545"
53.,HDL,"7,938.00","3,879.00","5,501.184,694.0036,321,961,8546,629,411","4,694.00","36,321,961,854","6,629,411"
54.,PFL,920.00,245.00,"504.09588.907,925,201,47913,791,458",588.90,"7,925,201,479","13,791,458"
55.,NMB,517.00,326.00,"421.17350.0014,849,459,27634,029,556",350.00,"14,849,459,276","34,029,556"
56.,UFL,466.00,310.00,"369.610.00390,470,9031,015,505",0.00,"390,470,903","1,015,505"
57.,SIFC,741.00,211.00,"412.91460.006,726,073,34213,906,752",460.00,"6,726,073,342","13,906,752"
58.,CFCL,814.90,183.00,"415.46491.009,162,322,80318,256,745",491.00,"9,162,322,803","18,256,745"
59.,JFL,836.00,244.00,"483.99654.007,508,312,99713,526,566",654.00,"7,508,312,997","13,526,566"
60.,PRVU,525.00,285.00,"422.54331.5020,571,649,86846,392,162",331.50,"20,571,649,868","46,392,162"
61.,SFCL,720.00,160.00,"397.15397.006,664,618,77716,083,000",397.00,"6,664,618,777","16,083,000"
62.,GMFIL,773.00,201.00,"424.31473.005,167,544,14610,354,213",473.00,"5,167,544,146","10,354,213"
63.,SWBBL,"2,275.00","1,097.00","1,685.821,355.007,122,104,2823,968,266","1,355.00","7,122,104,282","3,968,266"
64.,ICFC,"1,176.80",279.00,"584.08705.0019,864,060,72228,807,040",705.00,"19,864,060,722","28,807,040"
65.,EDBL,"1,195.00",383.00,"650.62556.005,110,086,2286,848,599",556.00,"5,110,086,228","6,848,599"
66.,EBLCP,770.00,590.00,"694.590.007,222,43510,977",0.00,"7,222,435","10,977"
67.,SIL,"1,376.00",732.00,"1,067.97971.004,986,511,3804,349,164",971.00,"4,986,511,380","4,349,164"
68.,MBLPO,250.00,120.00,"206.670.0075,221,750311,287",0.00,"75,221,750","311,287"
69.,NABILP,681.00,655.00,"668.000.0030,93646",0.00,"30,936",46
70.,KBLPO,155.80,100.00,"130.530.00334,826,8462,345,528",0.00,"334,826,846","2,345,528"
71.,LBLPO,211.00,163.00,"187.000.0019,053,33797,171",0.00,"19,053,337","97,171"
72.,BOKLPO,198.00,147.00,"172.500.002,135,24411,207",0.00,"2,135,244","11,207"
73.,JFLPO,352.00,352.00,"352.000.0039,164,928111,264",0.00,"39,164,928","111,264"
74.,NTC,"1,550.00",972.00,"1,275.681,448.9022,512,579,69916,916,831","1,448.90","22,512,579,699","16,916,831"
75.,NICAP,510.00,495.00,"503.450.0054,624,109108,666",0.00,"54,624,109","108,666"
76.,SWBBLP,930.00,781.45,"692.730.00111,355,135191,587",0.00,"111,355,135","191,587"
77.,GUFLPO,649.00,259.00,"519.000.0020,006,60636,404",0.00,"20,006,606","36,404"
78.,NCCBPO,141.50,116.00,"128.110.00763,758,3115,673,676",0.00,"763,758,311","5,673,676"
79.,PROFL,574.00,143.00,"330.27385.607,061,430,10119,096,250",385.60,"7,061,430,101","19,096,250"
80.,BFCPO,269.00,100.00,"216.310.0086,885,384354,480",0.00,"86,885,384","354,480"
81.,GBIME,522.00,275.00,"413.60360.0024,190,298,40655,955,669",360.00,"24,190,298,406","55,955,669"
82.,CZBIL,444.00,252.90,"335.39294.2014,141,489,42339,806,278",294.20,"14,141,489,423","39,806,278"
83.,PROFLP,101.00,101.00,"101.000.0021,129,705209,205",0.00,"21,129,705","209,205"
84.,PCBL,540.00,310.00,"450.61360.0014,742,876,64031,771,109",360.00,"14,742,876,640","31,771,109"
85.,LBBL,774.00,223.00,"468.52516.0021,911,320,11841,257,072",516.00,"21,911,320,118","41,257,072"
86.,SRBL,418.20,250.00,"324.11287.5010,201,860,36830,026,595",287.50,"10,201,860,368","30,026,595"
87.,AHPC,785.00,230.00,"437.38508.0042,342,857,50283,656,047",508.00,"42,342,857,502","83,656,047"
88.,SBBLPO,272.50,261.80,"267.550.0071,368,866270,460",0.00,"71,368,866","270,460"
89.,MDB,873.20,320.00,"528.32548.005,677,000,1039,498,566",548.00,"5,677,000,103","9,498,566"
90.,ALICL,"1,565.00",978.00,"1,289.501,322.0014,317,389,38210,783,462","1,322.00","14,317,389,382","10,783,462"
91.,PFLPO,476.00,476.00,"476.000.0023,195,00448,729",0.00,"23,195,004","48,729"
92.,NMBPO,245.00,245.00,"245.000.0057,877,820236,236",0.00,"57,877,820","236,236"
93.,PLIC,"1,133.00",570.00,"879.16797.007,532,257,0258,121,199",797.00,"7,532,257,025","8,121,199"
94.,NLBBL,"1,885.00",901.80,"1,473.601,216.006,328,899,2054,182,150","1,216.00","6,328,899,205","4,182,150"
95.,ADBL,620.00,398.00,"478.49419.9010,741,979,24721,558,427",419.90,"10,741,979,247","21,558,427"
96.,ICFCPO,286.00,166.00,"225.330.0023,319,512102,044",0.00,"23,319,512","102,044"
97.,MLBL,883.00,258.00,"463.99520.0023,444,968,11042,786,351",520.00,"23,444,968,110","42,786,351"
98.,SLICL,"1,091.00",617.40,"855.36807.209,646,604,00610,762,623",807.20,"9,646,604,006","10,762,623"
99.,GBBL,750.00,293.00,"487.50590.0019,109,310,40236,527,988",590.00,"19,109,310,402","36,527,988"
100.,JBBL,649.90,213.00,"407.03440.0022,292,665,78150,852,651",440.00,"22,292,665,781","50,852,651"
101.,KRBL,607.00,157.00,"341.83450.003,606,136,9929,824,935",450.00,"3,606,136,992","9,824,935"
102.,GLICL,901.00,460.00,"707.15685.008,009,336,51310,703,329",685.00,"8,009,336,513","10,703,329"
103.,SBLPO,275.00,190.00,"255.860.00156,475,773588,899",0.00,"156,475,773","588,899"
104.,CORBL,"1,155.00",460.00,"766.39608.001,666,151,4172,100,514",608.00,"1,666,151,417","2,100,514"
105.,KSBBL,866.90,275.00,"500.39527.0021,060,431,96338,353,094",527.00,"21,060,431,963","38,353,094"
106.,NIBPO,437.00,381.00,"400.130.00770,308,2471,924,546",0.00,"770,308,247","1,924,546"
107.,MPFL,696.00,167.00,"382.30440.202,901,766,0437,210,635",440.20,"2,901,766,043","7,210,635"
108.,SADBL,595.00,197.00,"352.95416.0011,798,312,23229,147,145",416.00,"11,798,312,232","29,147,145"
109.,SHINE,655.00,251.00,"397.97428.0012,774,432,28228,452,736",428.00,"12,774,432,282","28,452,736"
110.,MNBBL,850.00,367.00,"569.78550.0016,065,048,78526,631,853",550.00,"16,065,048,785","26,631,853"
111.,FMDBL,"1,365.00",667.00,"876.17860.1012,897,895,70113,877,174",860.10,"12,897,895,701","13,877,174"
112.,CZBILP,208.00,143.00,"184.780.0044,541,147232,653",0.00,"44,541,147","232,653"
113.,SMFDB,"1,938.00","1,100.00","1,479.111,218.002,372,362,9341,537,397","1,218.00","2,372,362,934","1,537,397"
114.,GBIMEP,171.00,147.00,"156.260.00269,161,4311,710,099",0.00,"269,161,431","1,710,099"
115.,MFIL,"1,456.00",400.00,"868.72705.0018,777,404,56620,299,389",705.00,"18,777,404,566","20,299,389"
116.,NBL,575.00,317.00,"441.70370.0031,225,854,80268,365,387",370.00,"31,225,854,802","68,365,387"
117.,SRBLPO,215.00,161.00,"186.890.00135,811,936731,772",0.00,"135,811,936","731,772"
118.,CBL,316.00,213.00,"255.69260.0013,067,363,58750,060,970",260.00,"13,067,363,587","50,060,970"
119.,PCBLP,205.00,169.00,"186.320.00576,995,7033,143,384",0.00,"576,995,703","3,143,384"
120.,SLBBL,"1,685.00",890.00,"1,380.241,141.105,836,377,2033,997,501","1,141.10","5,836,377,203","3,997,501"
121.,NLG,"1,422.00",710.00,"1,059.47961.0010,618,860,7579,119,713",961.00,"10,618,860,757","9,119,713"
122.,SINDU,618.00,177.00,"357.26410.004,900,014,83612,784,189",410.00,"4,900,014,836","12,784,189"
123.,MEGA,405.00,251.20,"326.75291.0016,958,455,36550,508,095",291.00,"16,958,455,365","50,508,095"
124.,SKBBL,"2,184.00","1,145.00","1,656.601,348.008,281,916,6614,759,127","1,348.00","8,281,916,661","4,759,127"
125.,RMDC,"1,800.00","1,001.00","1,337.561,215.0010,776,140,3747,644,103","1,215.00","10,776,140,374","7,644,103"
126.,JBBLPO,147.00,146.00,"146.570.0056,373,214382,180",0.00,"56,373,214","382,180"
127.,SLICLP,413.00,273.00,"271.600.00306,158,2361,040,671",0.00,"306,158,236","1,040,671"
128.,NLICLP,636.00,636.00,"579.130.0048,249,28996,606",0.00,"48,249,289","96,606"
129.,GBLBS,"1,437.00",750.00,"1,106.921,025.0010,162,206,2318,808,664","1,025.00","10,162,206,231","8,808,664"
130.,RLFL,814.00,210.00,"447.49500.0011,499,401,38223,014,254",500.00,"11,499,401,382","23,014,254"
131.,NLICP,"1,026.00",817.00,"925.840.00237,472,035259,794",0.00,"237,472,035","259,794"
132.,PRINPO,551.00,500.91,"336.760.00237,319,886736,000",0.00,"237,319,886","736,000"
133.,SHPC,675.00,314.00,"444.41432.0017,463,061,22435,304,774",432.00,"17,463,061,224","35,304,774"
134.,NSLB,"1,987.90","1,026.10","1,560.201,453.201,880,077,5861,152,520","1,453.20","1,880,077,586","1,152,520"
135.,KMCDB,"1,715.00","1,015.00","1,324.291,317.003,220,643,5862,345,901","1,317.00","3,220,643,586","2,345,901"
136.,ALICLP,697.00,657.00,"641.400.00267,018,946440,448",0.00,"267,018,946","440,448"
137.,MLBBL,"2,540.00","1,475.00","1,948.891,726.102,244,398,3701,128,163","1,726.10","2,244,398,370","1,128,163"
138.,CCBL,324.00,212.00,"256.16258.3012,175,068,90145,731,532",258.30,"12,175,068,901","45,731,532"
139.,SICLPO,911.00,911.00,"911.000.00455,500,000500,000",0.00,"455,500,000","500,000"
140.,DDBLPO,545.00,545.00,"701.290.0041,196,93559,000",0.00,"41,196,935","59,000"
141.,MDBPO,274.00,182.00,"251.00274.0017,986,22867,322",274.00,"17,986,228","67,322"
142.,RHPC,"1,118.00",165.00,"491.180.0017,101,832,81428,030,229",0.00,"17,101,832,814","28,030,229"
143.,EDBLPO,579.00,305.00,"408.670.0069,707,500171,500",0.00,"69,707,500","171,500"
144.,GMFILP,240.00,240.00,"240.000.0014,800,56061,669",0.00,"14,800,560","61,669"
145.,LLBS,"2,574.00","1,205.00","1,933.601,600.003,567,805,1211,734,492","1,600.00","3,567,805,121","1,734,492"
146.,SICPO,737.00,709.00,"726.070.0057,829,41279,494",0.00,"57,829,412","79,494"
147.,MLBLPO,315.00,109.00,"162.000.0024,568,298141,800",0.00,"24,568,298","141,800"
148.,GLICLP,494.00,334.00,"398.000.0064,657,282174,423",0.00,"64,657,282","174,423"
149.,GBBLPO,277.00,173.00,"259.670.0076,872,196283,068",0.00,"76,872,196","283,068"
150.,LBBLPO,324.00,110.00,"259.140.00153,674,292610,560",0.00,"153,674,292","610,560"
151.,SILPO,595.00,532.00,"563.500.008,610,00015,000",0.00,"8,610,000","15,000"
152.,PRVUPO,204.00,174.00,"198.750.00958,667,9674,788,055",0.00,"958,667,967","4,788,055"
153.,RBCLPO,"20,185.00","11,310.00","15,610.6415,680.003,825,713,005230,282","15,680.00","3,825,713,005","230,282"
154.,NIBSF1,17.71,11.25,"13.110.00241,770,28717,366,886",0.00,"241,770,287","17,366,886"
155.,MNBBLP,232.00,216.00,"222.830.00223,770,5381,008,996",0.00,"223,770,538","1,008,996"
156.,PICLPO,367.00,260.00,"320.200.00211,589,992629,891",0.00,"211,589,992","629,891"
157.,RLFLPO,346.00,316.00,"327.000.0015,296,17646,978",0.00,"15,296,176","46,978"
158.,NFSPO,279.00,279.00,"279.000.0018,414,00066,000",0.00,"18,414,000","66,000"
159.,SINDUP,225.00,111.00,"129.400.0048,924,464405,066",0.00,"48,924,464","405,066"
160.,CBLPO,161.00,101.00,"141.170.0017,634,549133,309",0.00,"17,634,549","133,309"
161.,CCBLPO,120.00,112.00,"116.160.00207,211,9201,812,973",0.00,"207,211,920","1,812,973"
162.,MEGAPO,132.00,118.00,"123.330.00150,399,0621,220,743",0.00,"150,399,062","1,220,743"
163.,RMDCPO,490.00,327.00,"504.390.0097,492,421208,600",0.00,"97,492,421","208,600"
164.,NLBBLP,100.00,92.59,"354.110.0012,135,62038,630",0.00,"12,135,620","38,630"
165.,SMFDBP,907.00,680.00,"752.670.00107,562,650147,710",0.00,"107,562,650","147,710"
166.,SHINEP,142.00,140.00,"140.070.0059,309,880422,810",0.00,"59,309,880","422,810"
167.,NUBLPO,600.00,600.00,"600.000.0060,537,900108,542",0.00,"60,537,900","108,542"
168.,CFCLPO,425.00,425.00,"425.000.005,525,00013,000",0.00,"5,525,000","13,000"
169.,KSBBLP,381.00,121.00,"191.070.0073,210,812366,564",0.00,"73,210,812","366,564"
170.,KMCDBP,785.00,710.00,"772.500.0026,323,70033,820",0.00,"26,323,700","33,820"
